Time,Load Cell,Moving Forward
2832983.0,-0.00650018,0.0
2833062.0,0.01706767,0.0
2833140.0,0.00685832,0.0
2833218.0,0.00421717,0.0
2833296.0,0.01229314,0.0
2833374.0,-0.00086224,0.0
2833452.0,0.01595022,0.0
2833530.0,-0.01239224,0.0
2833608.0,0.01843901,0.0
2833686.0,-0.00985261,0.0
2833765.0,0.003252,0.0
2833843.0,-0.00512892,0.0
2833921.0,-0.00137016,0.0
2833999.0,-0.0242778,0.0
2834077.0,0.00223615,0.0
2834155.0,-0.00416368,0.0
2834233.0,0.00624872,0.0
2834311.0,-0.01645564,0.0
2834389.0,-0.01259536,0.0
2834468.0,-0.00269082,0.0
2834546.0,-0.00761771,0.0
2834624.0,0.00462342,0.0
2834702.0,0.01884541,0.0
2834780.0,-0.00365583,0.0
2834858.0,0.01915013,0.0
2834936.0,0.00421717,0.0
2835014.0,-0.01899534,0.0
2835093.0,0.00695992,0.0
2835171.0,-0.01518575,0.0
2835249.0,0.00868682,0.0
2835327.0,-0.00187809,0.0
2835405.0,-0.00619546,0.0
2835483.0,-0.00228434,0.0
2835561.0,-0.01523659,0.0
2835639.0,-0.0104113,0.0
2835717.0,0.00436938,0.0
2835796.0,-0.00172565,0.0
2835874.0,-0.00137016,0.0
2835952.0,-0.02214442,0.0
2836030.0,-0.01081762,0.0
2836108.0,0.00350597,0.0
2836186.0,0.01275022,0.0
2836264.0,0.00711221,0.0
2836342.0,0.0080773,0.0
2836420.0,-0.00020188,0.0
2836499.0,0.00751861,0.0
2836577.0,0.0050805,0.0
2836655.0,0.00665512,0.0
2836733.0,0.00188059,0.0
2836811.0,0.00828057,0.0
2836889.0,0.01239466,0.0
2836967.0,0.02265485,0.0
2837045.0,0.00345513,0.0
2837123.0,-0.01279849,0.0
2837202.0,-0.00233525,0.0
2837280.0,0.00274408,0.0
2837358.0,-0.00909065,0.0
2837436.0,0.01158209,0.0
2837514.0,0.0014235,0.0
2837592.0,-0.00675422,0.0
2837670.0,0.0080773,0.0
2837748.0,-0.00655102,0.0
2837827.0,0.01417248,0.0
2837905.0,0.01503596,0.0
2837983.0,0.01229314,0.0
2838061.0,-0.00868425,0.0
2838139.0,0.0126487,0.0
2838217.0,0.00619803,0.0
2838295.0,-0.01102082,0.0
2838373.0,-0.02305875,0.0
2838451.0,0.00853446,0.0
2838530.0,-0.01940159,0.0
2838608.0,-0.00070988,0.0
2838686.0,0.00543607,0.0
2838764.0,0.0232643,0.0
2838842.0,-0.00883676,0.0
2838920.0,-0.0027415,0.0
2838998.0,0.0030488,0.0
2839076.0,0.00909315,0.0
2839154.0,-0.00609393,0.0
2839233.0,-0.00909065,0.0
2839311.0,-0.00243678,0.0
2839389.0,0.00513134,0.0
2839467.0,0.01691523,0.0
2839545.0,0.00990587,0.0
2839623.0,-0.008278,0.0
2839701.0,-0.01716669,0.0
2839779.0,-0.00126856,0.0
2839857.0,-0.0141699,0.0
2839936.0,0.0108202,0.0
2840014.0,0.00970267,0.0
2840092.0,0.00533447,0.0
2840170.0,-0.0011162,0.0
2840248.0,0.02555011,0.0
2840326.0,-0.01452546,0.0
2840404.0,-0.01818254,0.0
2840482.0,-0.00680491,0.0
2840561.0,-0.00370659,0.0
2840639.0,0.01234397,0.0
2840717.0,0.01686454,0.0
2840795.0,-0.00660178,0.0
2840873.0,-0.01269696,0.0
2840951.0,-0.00914148,0.0
2841029.0,0.00025529,0.0
2841107.0,-0.00431612,0.0
2841185.0,0.01630578,0.0
2841264.0,-0.01305253,0.0
2841342.0,0.00015361,0.0
2841420.0,-0.00782083,0.0
2841498.0,-0.00497641,0.0
